lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.217,3.302667682271068,1.499557887985655,1.0137884251306302
1.219,3.3429533707489325,1.5113962094990898,1.0036121008154602
1.221,3.365960858019059,1.51138807974488,0.9296322380956594
1.223,3.3988731686354554,1.50346869525615,0.8941149665282907
1.225,3.447004101912705,1.50386217756449,0.899282745657809
1.227,3.4800351010096544,1.50043914258337,0.8536254481347226
1.229,3.4896220242104046,1.49113363358446,0.8807018413186369
1.231,3.5177561888370352,1.4888861378631801,0.995140966755172
1.233,3.54722820091583,1.49427330560061,0.8786712101703931
1.235,3.5629264377670316,1.49847418104092,0.879616732127381
1.237,3.5869850128437135,1.49088968403146,0.853962596336486
1.239,3.60206882586121,1.49080436391807,0.8983165190301549
1.241,3.6286068253522523,1.49357514196258,0.9316311394068635
1.243,3.64648341752345,1.4837122778876832,0.871834472953989
1.245,3.66473591991566,1.478622616011215,0.812600576205357
1.247,3.68832165638979,1.4896065011599033,0.8808896042774302
1.249,3.7257789403212453,1.48778351981377,0.772212210775044
1.251,3.745773891749861,1.47538912804915,0.8703392495826293
1.253,3.7699791852407407,1.461294508453995,0.8429473242859025
1.255,3.8031854661277587,1.46006943196735,0.8339213853455526
1.257,3.8645509047994446,1.4620099585227,0.8001636752939695
1.259,3.905272858728891,1.4585529928648233,0.819692040777222
1.261,3.966410383116384,1.4704099595743751,0.8503302109787295
1.263,4.011984376318824,1.4662933466548402,0.7740896961386187
1.265,4.061365345107664,1.460828819374945,0.8090085948911325
1.267,4.097534743876502,1.4582136702783,0.7560225424629157
1.269,4.135144357227358,1.44975618911693,0.7263295797515215
1.271,4.178907222417532,1.4418096464397498,0.7212165260651093
1.273,4.226965593910537,1.43174184965612,0.7417116940107805
1.275,4.278748032083065,1.42227331690943,0.7352950862263524
1.277,4.315794100393113,1.427419457107045,0.7558261753340635
1.279,4.3613676018303895,1.4347107515598765,0.7211352570712289
1.281,4.4181136640812975,1.4318901833867,0.7988704818100745
1.283,4.472401579942517,1.42468623568017,0.7853022521703017
1.285,4.508785412919442,1.423425315049525,0.776464478448986
1.287,4.551626480945292,1.4204490522483268,0.7706547300660874
1.289,4.6129830254325705,1.420525096103645,0.735140538621307
1.291,4.664376486522578,1.4165012216422699,0.6301244566648664
1.293,4.7115373153391085,1.4166138027786799,0.5645299939447346
1.295,4.759014424233612,1.4188815158132366,0.751854732960481
1.298,4.811542829522416,1.422678036209335,0.6714882006703851
1.3,4.857670012222432,1.4304136487767634,0.735863666172229
1.302,4.902655859586879,1.4215239191578801,0.7330863127804326
1.304,4.946425953111048,1.4239288345866132,0.7160268586698293
1.306,5.007269250018979,1.4249598222076951,0.6470580514961926
1.308,5.079443391315388,1.4171645004670301,0.6693398914863247
1.31,5.1420639505877475,1.40855324182687,0.6483025956403015
1.312,5.206879746928162,1.4029259313351634,0.6907265234767413
1.314,5.305327728491969,1.409872402664555,0.6567934732831819
1.316,5.39102130327839,1.40862218551161,0.5882651752778699
1.318,5.44371647471353,1.40436766577824,0.5671145676800691
1.32,5.518592067608561,1.4021010905418034,0.6938224008395227
1.322,5.611579902620939,1.3950480115421,0.6565258216762465
1.324,5.688785352810306,1.39685447962978,0.5677884624936059
1.326,5.743411623816751,1.3891924892766299,0.6574108018560895
1.328,5.800545296408593,1.3943575182668866,0.6298333492730344
1.33,5.8969739785289566,1.3933566534268098,0.6101507983447412
1.332,5.95243207031332,1.38453333867452,0.61746706510412
1.334,6.005885966853704,1.38559252356789,0.577498582533463
1.336,6.082024735157471,1.38627505620568,0.6119898578049975
1.338,6.18122134132994,1.3824059156468131,0.603271817458019
1.34,6.245306530354514,1.3882351903200951,0.6063832198066634
1.342,6.2906145873983395,1.3883864063035667,0.5899858960762684
1.344,6.350537653179692,1.383698868624485,0.570086920355247
1.346,6.428757766371898,1.3865393982483465,0.6210414799028757
1.348,6.487903661963614,1.379266720098045,0.541633238377074
1.35,6.533134703978707,1.3756504018656932,0.5855381204605047
1.352,6.5900092544596465,1.3785293135979,0.543828067684142
1.354,6.683369655269339,1.3790893958402,0.6238120492496996
1.356,6.738206415496981,1.37285308934045,0.5985293233488465
1.358,6.786019546559334,1.3711726812885132,0.5423547554482256
1.36,6.849227096184115,1.3721060770805198,0.48856976390163354
1.362,6.933754513980001,1.3700480714243,0.528287172727434
1.364,6.995092332344274,1.3681017478106399,0.5380826130138769
1.366,7.045317382476643,1.3686954883571165,0.5711701154818267
1.368,7.113263773157818,1.368465379380855,0.525324677790447
1.37,7.209917852259998,1.3686074128404133,0.5131402291408446
1.372,7.285940992967056,1.36893439218763,0.4943751750906285
1.374,7.354059338475545,1.3694833928400734,0.5730365570706907
1.376,7.430394911300658,1.3665953729139448,0.546031848675206
1.378,7.516420154182,1.3635617448085633,0.4764868968381917
1.38,7.557198836777639,1.36134186901197,0.5425027456328485
1.382,7.625824990678684,1.3565065854706233,0.5527055343910144
1.384,7.701125291249696,1.355408504111,0.4818340533810565
1.386,7.80203210368827,1.35543068782355,0.529013952155554
1.388,7.855204621427709,1.354629542442155,0.515344225929355
1.39,7.916070716937942,1.3575662372447868,0.48079740347921734
1.392,7.993566846606796,1.35687385397507,0.47626896148111253
