age_weeks,animal,out_root,source_prefix,source_file,term_group,term,row_label,col_label,value_mpa,value_kpa
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_theta,rtheta,theta,0.0,0.0
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_thetaz,rtheta,thetaz,0.0,0.0
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,K_FSG,K_FSG_rtheta_z,rtheta,z,0.0,0.0
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,K_FSG,K_FSG_rz_rtheta,rz,rtheta,0.0,0.0
