age,animal,bucket,name,idx,gate,eff_w_norm,coeff_raw,sigma,source,kind
16weeks,Oreon,aniso_base,k1₀ fiber(helical+α),,,,2.8012414185371997,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Oreon,aniso_base,k1₁ fiber(helical-α),,,,2.8012414185371997,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Oreon,aniso_base,k1₂ fiber(circumferential),,,,0.0034104264806570704,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Oreon,aniso_base,k1₃ fiber(axial),,,,0.32099765826510834,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runsfinal/Orion_POLY_params.txt,base
16weeks,Sagittarius,iso_base,b_th E_θ²,,,,0.0008901427216227251,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,iso_base,b_z E_z²,,,,0.0013695030569749408,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,iso_base,b_θz <E_θ><E_z>,,,,0.6893418075437527,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,aniso_base,k1₀ fiber(helical+α),,,,4.326167653615494,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,aniso_base,k1₁ fiber(helical-α),,,,4.326167653615494,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,aniso_base,k1₂ fiber(circumferential),,,,14.697357384017671,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
16weeks,Sagittarius,aniso_base,k1₃ fiber(axial),,,,0.9476135222424555,,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runsfinal/Original_POLY_params.txt,base
28weeks,Dodge,iso_base,b_th E_θ²,,,,0.04411281458513149,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,iso_base,b_z E_z²,,,,0.3668694100441791,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,iso_base,b_θz <E_θ><E_z>,,,,6.333217526516175,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,aniso_base,k1₀ fiber(helical+α),,,,13.566546432696839,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,aniso_base,k1₁ fiber(helical-α),,,,13.566546432696839,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,aniso_base,k1₂ fiber(circumferential),,,,0.012350904149508424,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Dodge,aniso_base,k1₃ fiber(axial),,,,5.337277107337324,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runsfinal/Dodge_POLY_params.txt,base
28weeks,Lexus,iso_base,b_th E_θ²,,,,0.17602859198843973,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,iso_base,b_z E_z²,,,,1.8014771942710888,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,iso_base,b_θz <E_θ><E_z>,,,,3.30814950718474,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,aniso_base,k1₀ fiber(helical+α),,,,0.028302301672442486,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,aniso_base,k1₁ fiber(helical-α),,,,0.028302301672442486,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,aniso_base,k1₂ fiber(circumferential),,,,1.4543332500993582e-07,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Lexus,aniso_base,k1₃ fiber(axial),,,,6.381077782215174,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runsfinal/lexus_POLY_params.txt,base
28weeks,Mercedes,iso_base,b_th E_θ²,,,,0.0002800975281812934,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,iso_base,b_z E_z²,,,,0.01376346742191007,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,iso_base,b_θz <E_θ><E_z>,,,,-1.362975413433626,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,aniso_base,k1₀ fiber(helical+α),,,,5.723815898721853,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,aniso_base,k1₁ fiber(helical-α),,,,5.723815898721853,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,aniso_base,k1₂ fiber(circumferential),,,,0.5170919008703233,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
28weeks,Mercedes,aniso_base,k1₃ fiber(axial),,,,0.05224151261240842,,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runsfinal/Mercedes_POLY_params.txt,base
3weeks,Lucid,iso_base,b_th E_θ²,,,,0.020801618042005567,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,iso_base,b_z E_z²,,,,2.8850238162903126,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,iso_base,b_θz <E_θ><E_z>,,,,-2.1024895400078636,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,aniso_base,k1₀ fiber(helical+α),,,,6.494101098772817,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,aniso_base,k1₁ fiber(helical-α),,,,6.494101098772817,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,aniso_base,k1₂ fiber(circumferential),,,,0.016480796970317613,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Lucid,aniso_base,k1₃ fiber(axial),,,,0.26051243350576875,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runsfinal/Lucid_POLY_params.txt,base
3weeks,Rosie,iso_base,b_th E_θ²,,,,0.009588077204150973,,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runsfinal/Original_POLY_params.txt,base
