lambda_z,sigma_z_kPa,lambda_theta,sigma_theta_kPa
1.327,10.176856657672872,1.4047384925946,10.2445096106151
1.329,10.236152267500772,1.4026249189257733,10.197859469849705
1.331,10.285785564428378,1.40266852285603,10.11234576390163
1.333,10.305368410019698,1.40527551957444,10.379194582091566
1.335,10.355497980864182,1.40303946126892,10.1547379786907
1.339,10.387184946007814,1.4023506365068867,10.3010532691944
1.341,10.414156202944536,1.39938130809974,10.551535171976951
1.343,10.475687089133151,1.39600409897413,10.435279454555667
1.345,10.569555777575617,1.39742952862997,10.1138197704615
1.347,10.670974827689173,1.3968190918681866,10.297177857797665
1.349,10.723939285399252,1.4013356158197,10.31690756131645
1.351,10.774046719834754,1.3942553378606466,10.423263658152633
1.353,10.844916694892955,1.3907142698302,10.3812749669885
1.357,10.918675682072102,1.38700875002301,10.148648716566933
1.359,10.99002098908127,1.38729285560148,10.7219933512062
1.361,11.054366373367047,1.3867622596474565,10.416083017270333
1.363,11.10995876442294,1.38387067015349,10.314530863369349
1.365,11.167890379983493,1.3800417356911865,10.3430819258261
1.367,11.218574488863037,1.37983647638131,10.0356504803026
1.371,11.342431536211588,1.3800354255772866,10.0902716582606
1.373,11.45142691194703,1.37665368424551,10.327706965556
1.375,11.5667966880219,1.38023342109367,10.4605346128002
1.377,11.656097613993259,1.3811660894153,10.2323404216041
1.379,11.752153960308604,1.3780683284853232,10.392818423371201
1.381,11.834688341794797,1.37224341804298,10.3383760793595
1.383,11.888283295481417,1.3657636141420866,10.0019607205493
1.387,11.961943234948354,1.36624496848167,9.97638682260651
1.389,12.055262268499257,1.3670552411794965,10.673773278534867
1.391,12.142739988203466,1.36684694360729,10.263537178687649
1.393,12.211687687813928,1.3669233027269332,10.251884672986401
1.395,12.296450947781377,1.36891295190943,10.1609718939035
1.397,12.400755108688227,1.3618627666075402,10.181790043560333
1.399,12.496863713127032,1.35986147285267,10.176785768876801
1.401,12.564721491508282,1.3557411143988434,10.248602430311633
