param,kind,n,n_ages,best_model,r2_age,aic_age,coeffs,per_age_json
base.aniso._tau_raw[3.0],base_param,12,5,constant,1.1102230246251565e-16,20.399509223744538,[-1.5423474525333334],"[{""age_weeks"":3,""mean"":-3.4431039045,""std"":5.4854621334,""count"":2},{""age_weeks"":8,""mean"":-1.94227179,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.3895189049,""std"":1.922978611,""count"":3},{""age_weeks"":16,""mean"":-1.7998687403,""std"":0.5653985001,""count"":3},{""age_weeks"":28,""mean"":-1.0371756319,""std"":1.6028515129,""count"":3}]"
base.aniso._α,base_param,12,5,constant,0.0,22.63623589069086,[-0.7011625686406668],"[{""age_weeks"":3,""mean"":-0.1145971406,""std"":0.3972128329,""count"":2},{""age_weeks"":8,""mean"":0.4960668412,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.1637959997,""std"":2.3603154088,""count"":3},{""age_weeks"":16,""mean"":-2.9234686867,""std"":4.191969948,""count"":3},{""age_weeks"":28,""mean"":0.1936568918,""std"":0.413727272,""count"":3}]"
base.aniso.quad_w[0.0],base_param,12,5,constant,,-826.9304890339799,[0.013576000000000003],"[{""age_weeks"":3,""mean"":0.013576,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.013576,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.013576,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.013576,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.013576,""std"":0.0,""count"":3}]"
base.aniso.quad_w[1.0],base_param,12,5,constant,0.0,-826.9304890339799,[0.031126000000000004],"[{""age_weeks"":3,""mean"":0.031126,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.031126,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.031126,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.031126,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.031126,""std"":0.0,""count"":3}]"
base.aniso.quad_w[10.0],base_param,12,5,constant,,-826.9306334778564,[0.086079],"[{""age_weeks"":3,""mean"":0.086079,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.086079,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.086079,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.086079,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.086079,""std"":0.0,""count"":3}]"
base.aniso.quad_w[11.0],base_param,12,5,constant,,-826.928322584447,[0.07750000000000001],"[{""age_weeks"":3,""mean"":0.0775,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.0775,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.0775,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.0775,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.0775,""std"":0.0,""count"":3}]"
base.aniso.quad_w[2.0],base_param,12,5,constant,,-826.9306334778564,[0.047579],"[{""age_weeks"":3,""mean"":0.047579,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.047579,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.047579,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.047579,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.047579,""std"":0.0,""count"":3}]"
base.aniso.quad_w[3.0],base_param,12,5,constant,,-826.9306334778564,[0.062314],"[{""age_weeks"":3,""mean"":0.062314,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.062314,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.062314,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.062314,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.062314,""std"":0.0,""count"":3}]"
base.aniso.quad_w[4.0],base_param,12,5,constant,,-826.9306334778564,[0.074797],"[{""age_weeks"":3,""mean"":0.074797,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.074797,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.074797,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.074797,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.074797,""std"":0.0,""count"":3}]"
base.aniso.quad_w[5.0],base_param,12,5,constant,,-826.928322584447,[0.08457800000000001],"[{""age_weeks"":3,""mean"":0.084578,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.084578,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.084578,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.084578,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.084578,""std"":0.0,""count"":3}]"
base.aniso.quad_w[6.0],base_param,12,5,constant,,-826.928322584447,[0.09132200000000001],"[{""age_weeks"":3,""mean"":0.091322,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.091322,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.091322,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.091322,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.091322,""std"":0.0,""count"":3}]"
base.aniso.quad_w[7.0],base_param,12,5,constant,,-826.9306334778564,[0.094827],"[{""age_weeks"":3,""mean"":0.094827,""std"":0.0,""count"":2},{""age_weeks"":8,""mean"":0.094827,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.094827,""std"":0.0,""count"":3},{""age_weeks"":16,""mean"":0.094827,""std"":0.0,""count"":3},{""age_weeks"":28,""mean"":0.094827,""std"":0.0,""count"":3}]"
