animal,age_weeks,param,index,value,kind
Audi,16,base.aniso.quad_x,5.0,0.270991,base_param
Audi,16,base.aniso.quad_x,6.0,0.359009,base_param
Audi,16,base.aniso.quad_x,7.0,0.451846,base_param
Audi,16,base.aniso.quad_x,8.0,0.546156,base_param
Audi,16,base.aniso.quad_x,9.0,0.638756,base_param
Audi,16,base.aniso.quad_x,10.0,0.726781,base_param
Audi,16,base.aniso.quad_x,11.0,0.807785,base_param
Audi,16,base.aniso.quad_w,0.0,0.013576,base_param
Audi,16,base.aniso.quad_w,1.0,0.031126,base_param
Audi,16,base.aniso.quad_w,2.0,0.047579,base_param
Audi,16,base.aniso.quad_w,3.0,0.062314,base_param
Audi,16,base.aniso.quad_w,4.0,0.074797,base_param
Audi,16,base.aniso.quad_w,5.0,0.084578,base_param
Audi,16,base.aniso.quad_w,6.0,0.091322,base_param
Audi,16,base.aniso.quad_w,7.0,0.094827,base_param
Audi,16,base.aniso.quad_w,8.0,0.095038,base_param
Audi,16,base.aniso.quad_w,9.0,0.092045,base_param
Audi,16,base.aniso.quad_w,10.0,0.086079,base_param
Audi,16,base.aniso.quad_w,11.0,0.0775,base_param
Oreon,16,w[I₁-3],,0.002717725275,cross_weight
Oreon,16,w[I₂-3],,0.002462804862,cross_weight
Oreon,16,w[<I₂-3>ln(1+<I₂-3>)],,0.002485300822,cross_weight
Oreon,16,w[<I₄θ-1>],,0.04085330522,cross_weight
Oreon,16,w[<I₄z-1>],,0.1293188595,cross_weight
Oreon,16,w[<I₄D1-1>],,0.01897606239,cross_weight
Oreon,16,w[<I₄D2-1>],,0.01897606239,cross_weight
Oreon,16,w[(<I₄θ-1>)³],,0.00375109735,cross_weight
Oreon,16,w[<I₂-3>·<E_z>],,0.00179201852,cross_weight
Oreon,16,w[I₈D1D2],,0.4622371051,cross_weight
Oreon,16,base.iso._bth,,-8.224148487,base_param
Oreon,16,base.iso._bz,,-5.898299752,base_param
Oreon,16,base.iso.bthz,,-8.12399166,base_param
Oreon,16,base.aniso._α,,-0.8569823976,base_param
Oreon,16,base.aniso._k1,0.0,3.437287044,base_param
Oreon,16,base.aniso._k1,1.0,3.437287044,base_param
Oreon,16,base.aniso._k1,2.0,-5.871064577,base_param
Oreon,16,base.aniso._k1,3.0,4.017306029,base_param
Oreon,16,base.aniso._k2,0.0,3.363226301,base_param
Oreon,16,base.aniso._k2,1.0,3.363226301,base_param
Oreon,16,base.aniso._k2,2.0,16.27007281,base_param
Oreon,16,base.aniso._k2,3.0,-9.035850274,base_param
Oreon,16,base.aniso._lam0_raw,0.0,-2.0,base_param
Oreon,16,base.aniso._lam0_raw,1.0,-2.0,base_param
Oreon,16,base.aniso._lam0_raw,2.0,-2.0,base_param
Oreon,16,base.aniso._lam0_raw,3.0,-2.0,base_param
Oreon,16,base.aniso._lam0h_raw,0.0,-2.8,base_param
Oreon,16,base.aniso._lam0h_raw,1.0,-2.8,base_param
Oreon,16,base.aniso._kappa,0.0,-0.1380879689,base_param
Oreon,16,base.aniso._kappa,1.0,-0.1380879689,base_param
Oreon,16,base.aniso._tau_raw,0.0,-6.47073438,base_param
Oreon,16,base.aniso._tau_raw,1.0,-6.47073438,base_param
Oreon,16,base.aniso._tau_raw,2.0,-2.002213814,base_param
Oreon,16,base.aniso._tau_raw,3.0,-2.191282763,base_param
Oreon,16,base.aniso._sigma_s_raw,0.0,-2.0,base_param
Oreon,16,base.aniso._sigma_s_raw,1.0,-2.0,base_param
Oreon,16,base.aniso._sigma_s_raw,2.0,-2.0,base_param
Oreon,16,base.aniso._sigma_s_raw,3.0,-2.0,base_param
Oreon,16,base.aniso._lambda_lb_raw,0.0,-1.23408776,base_param
Oreon,16,base.aniso._lambda_lb_raw,1.0,-1.23408776,base_param
Oreon,16,base.aniso._lambda_lb_raw,2.0,-1.233870936,base_param
Oreon,16,base.aniso._lambda_lb_raw,3.0,-1.025279393,base_param
Oreon,16,base.aniso._lambda_ub_raw,0.0,1.634854099,base_param
Oreon,16,base.aniso._lambda_ub_raw,1.0,1.634854099,base_param
Oreon,16,base.aniso._lambda_ub_raw,2.0,2.794724133,base_param
Oreon,16,base.aniso._lambda_ub_raw,3.0,1.547454221,base_param
Oreon,16,base.aniso._logn_mu_raw,0.0,-4.498132062,base_param
Oreon,16,base.aniso._logn_mu_raw,1.0,-4.498132062,base_param
Oreon,16,base.aniso._logn_mu_raw,2.0,-4.562326597,base_param
Oreon,16,base.aniso._logn_mu_raw,3.0,-3.832881178,base_param
Oreon,16,base.aniso._logn_sig_raw,0.0,-3.756471404,base_param
Oreon,16,base.aniso._logn_sig_raw,1.0,-3.756471404,base_param
Oreon,16,base.aniso._logn_sig_raw,2.0,-6.992567352,base_param
Oreon,16,base.aniso._logn_sig_raw,3.0,-2.592038545,base_param
Oreon,16,base.aniso._beta_a_raw,0.0,0.2,base_param
Oreon,16,base.aniso._beta_a_raw,1.0,0.2,base_param
Oreon,16,base.aniso._beta_a_raw,2.0,0.2,base_param
Oreon,16,base.aniso._beta_a_raw,3.0,0.2,base_param
Oreon,16,base.aniso._beta_b_raw,0.0,0.2,base_param
Oreon,16,base.aniso._beta_b_raw,1.0,0.2,base_param
Oreon,16,base.aniso._beta_b_raw,2.0,0.2,base_param
Oreon,16,base.aniso._beta_b_raw,3.0,0.2,base_param
Oreon,16,base.aniso._recruit_ref_stretch,,1.41713964,base_param
Oreon,16,base.aniso.quad_x,0.0,0.005299,base_param
Oreon,16,base.aniso.quad_x,1.0,0.027712,base_param
Oreon,16,base.aniso.quad_x,2.0,0.067184,base_param
Oreon,16,base.aniso.quad_x,3.0,0.122299,base_param
Oreon,16,base.aniso.quad_x,4.0,0.191061,base_param
Oreon,16,base.aniso.quad_x,5.0,0.270991,base_param
Oreon,16,base.aniso.quad_x,6.0,0.359009,base_param
Oreon,16,base.aniso.quad_x,7.0,0.451846,base_param
Oreon,16,base.aniso.quad_x,8.0,0.546156,base_param
Oreon,16,base.aniso.quad_x,9.0,0.638756,base_param
Oreon,16,base.aniso.quad_x,10.0,0.726781,base_param
Oreon,16,base.aniso.quad_x,11.0,0.807785,base_param
Oreon,16,base.aniso.quad_w,0.0,0.013576,base_param
