lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.05019206667432,2.90861931584979,1.125,2.28732046489161,1.27162737381778,1.45065492,9.01904946859903,24.75,39.814999,81.0742102155704
1.05137186704738,2.91115896151731,1.123,2.25119174057346,1.29316348716513,1.45065492,9.0291815942029,24.706,38.5597478,79.9357333991206
1.05266349847003,2.88396733538851,1.123,2.24136315686063,1.28670239205142,1.4305236,9.04027412486064,24.706,38.5597478,79.5867382277189
1.05406696094228,2.88871936330515,1.121,2.19098484849087,1.3184570241528,1.4305236,9.05232706057228,24.662,36.7553242,77.9366968053959
1.05558225446411,2.97730024469841,1.121,2.2277505569867,1.33646033006745,1.46652,9.06534040133779,24.662,36.7553242,79.2445095352965
1.05720937903554,2.99438409548436,1.121,1.82160118957816,1.64381979580162,1.46652,9.07931414715719,24.662,22.01592925,64.797152618508
1.05894833465655,2.99686814916117,1.117,1.82026410796735,1.64639193622716,1.4685198,9.09424829803047,24.574,22.01592925,64.9814601887025
1.06079912132716,2.9256139915741,1.113,1.38839819597638,2.10718654061394,1.4338566,9.11014285395763,24.486,7.649187,49.7424428702021
1.06276173904735,2.93229157084632,1.113,1.39266332515137,2.10552796062724,1.42732392,9.12699781493868,24.486,7.649187,49.8952505769076
1.06483618781714,2.94369373800915,1.111,1.49202694580705,1.97294944724801,1.42732392,9.14481318097361,24.442,11.03248125,53.5514014680301
1.06702246763652,3.05549610336381,1.111,1.5388281845937,1.98559925919901,1.47038628,9.16358895206243,24.442,11.03248125,55.2311780528354
1.06932057850549,3.04734469630365,1.101,1.18004519990568,2.58239658662839,1.47931872,9.18332512820512,24.222,-1.6671305,42.7385277058798
1.07173052042405,2.99767681999791,1.101,1.16201042880155,2.57973314670644,1.443189,9.2040217094017,24.222,-1.6671305,42.0853497051008
