lambda_theta,sigma_theta_kPa,lambda_z,sigma_z_kPa,stress_ratio_sigmaTheta_over_sigmaZ,pressure_kPa,od_mm,length_mm,F_transducer_mN,F_vessel_mN
1.1864137459755,5.49418407257998,1.037,0.198011667982975,27.7467693118587,2.64880176,9.48018086956521,22.814,-77.50195495,7.61412950441688
1.18720923349854,5.50333082715132,1.037,1.04350153714306,5.27390773397282,2.64880176,9.48447033816424,22.814,-45.15962325,40.1256952320026
1.18876746390207,5.56795235894576,1.037,1.07095964072229,5.19903098793763,2.67119952,9.49287671497584,22.814,-45.15962325,41.1815398634207
1.19143652771606,5.59898737141739,1.037,0.772467124826057,7.24818855259136,2.67119952,9.50728811594202,22.814,-57.2119961,29.7036269945257
1.19418653025087,5.44133030925135,1.037,0.71123152842619,7.65057522308088,2.58120852,9.52215265700482,22.814,-57.2119961,27.3489386773257
1.19562557526284,5.45756461364856,1.037,0.450504514061826,12.1143394645311,2.58120852,9.52993758454106,22.814,-67.53839855,17.3232201280485
1.19666993859606,5.44449920019776,1.037,0.446129552984141,12.2038523648114,2.56947636,9.53559014492753,22.814,-67.53839855,17.1549900405915
1.19729477277785,5.45152829839024,1.037,1.30845702725285,4.16637931918628,2.56947636,9.53897314009661,22.814,-34.50960135,50.3140110779942
1.19763105673101,5.48956247388914,1.037,1.32414112091383,4.14575333941796,2.58560808,9.54079420289854,22.814,-34.50960135,50.9171104888045
1.19783172112489,5.49183545015304,1.037,1.14595027058631,4.79238549098923,2.58560808,9.54188096618357,22.814,-41.4036763,44.0651495679333
1.19775376217666,5.43064643263814,1.037,1.12111814979427,4.84395550427462,2.55721092,9.54145874396134,22.814,-41.4036763,43.1102816780462
1.19754217275818,5.42827619367791,1.037,0.877697627376513,6.1846768458328,2.55721092,9.54031285024154,22.814,-50.7199938,33.7500485129936
1.19716658491963,5.31095647407805,1.037,0.829903034280827,6.39949036778784,2.50388292,9.53827903381642,22.814,-50.7199938,31.9122062022428
1.19744268753221,5.3139840263722,1.037,0.414387769693598,12.8236989964772,2.50388292,9.53977410628018,22.814,-66.75386655,15.9344253580289
